bdm_img,choice_left,choice_right,img_correct,img_left,img_wrong,img_right,bdm_loop1.thisRepN,bdm_loop1.thisTrialN,bdm_loop1.thisN,bdm_loop1.thisIndex,binary.thisRepN,binary.thisTrialN,binary.thisN,binary.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instr_main_resp.keys,instr_main_resp.rt,instr_bdm_resp.keys,partnered_pilot_participant,instr_bdm_resp.rt,bdm_bid1.response,bdm_bid1.rt,bdm_marker_start,instr_choice_resp.keys,instr_choice_resp.rt,key_resp_choice.keys,key_resp_choice.rt,confidence_rating1.response,confidence_rating1.rt,confidence_marker_start,instr_infer_intro_resp.keys,instr_infer_intro_resp.rt,instr_infer_practice_resp.keys,instr_infer_practice_resp.rt,set_feedback.feedback_img,trial_start_time,instr_infer_resp.keys,instr_infer_resp.rt,get_ready_resp.keys,infer_resp.keys,infer_resp.rt,rest_prompt_resp.keys,rest_prompt_resp.rt,correct_counter,incorrect_counter,auction.win_item,auction.price,auction.bid,auction.rand_itm_img,score.base,score.rwrd,score.loss,score.final_pymt,expName,eye,contacts,frameRate,session,date,participant,glasses,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.700173169405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,['P12'],13.1831875145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
22-daim.png,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,0.78,13.25,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
36-fig_rolls.png,,,,,,,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,1.06,7.334,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
44-crunch.png,,,,,,,0,2,2,33,,,,,,,,,,,,,,,,,,,,,,0.0,5.684,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
3-ellas_strawberries_apples.png,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,0.08,5.018,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
21-nakd_banana_crunch.png,,,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,1.1,9.267,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
45-chewy_nougat_redo.png,,,,,,,0,5,5,34,,,,,,,,,,,,,,,,,,,,,,0.14,4.134,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
46-pistachios.png,,,,,,,0,6,6,35,,,,,,,,,,,,,,,,,,,,,,1.4,8.651,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
27-hartleys_raspberries_jelly.png,,,,,,,0,7,7,20,,,,,,,,,,,,,,,,,,,,,,0.0,2.334,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
17-jacobs_mini_cheddars_redo.png,,,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,0.06,2.584,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
33-ambrosia_rice.png,,,,,,,0,9,9,24,,,,,,,,,,,,,,,,,,,,,,0.0,2.517,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
8-liquorice_catherine_wheels.png,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,0.18,4.317,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
51-mars.png,,,,,,,0,11,11,39,,,,,,,,,,,,,,,,,,,,,,0.18,4.934,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
31-hobnobs.png,,,,,,,0,12,12,23,,,,,,,,,,,,,,,,,,,,,,0.78,3.951,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
2-steamed_puddings.png,,,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,0.26,7.518,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
10-bounty_redo.png,,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,0.0,3.467,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
23-crunchie_redo.png,,,,,,,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,0.0,2.451,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
49-yorkie.png,,,,,,,0,16,16,37,,,,,,,,,,,,,,,,,,,,,,0.0,3.151,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
4-corn.png,,,,,,,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,0.28,3.184,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
40-sardines.png,,,,,,,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,0.0,2.017,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
1-treacle_cookies.png,,,,,,,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,1.02,3.667,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
38-maltesers.png,,,,,,,0,20,20,28,,,,,,,,,,,,,,,,,,,,,,0.0,2.717,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
34-hula_hoops_bbq_beef_redo.png,,,,,,,0,21,21,25,,,,,,,,,,,,,,,,,,,,,,0.18,2.551,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
13-mccoys_steak_crisps.png,,,,,,,0,22,22,9,,,,,,,,,,,,,,,,,,,,,,0.18,2.401,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
29-beans.png,,,,,,,0,23,23,21,,,,,,,,,,,,,,,,,,,,,,0.0,2.467,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
18-mms.png,,,,,,,0,24,24,12,,,,,,,,,,,,,,,,,,,,,,0.14,3.984,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
30-spaghetti_hoops.png,,,,,,,0,25,25,22,,,,,,,,,,,,,,,,,,,,,,0.0,2.084,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
50-polo.png,,,,,,,0,26,26,38,,,,,,,,,,,,,,,,,,,,,,0.0,1.701,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infer_design1_no_eyetracking,r,n,60.017384698,001,2015_Sep_24_1413,C2,n,
