img_left,img_right,img_correct,img_wrong
12-topic.png,39-mackerel.png,12-topic.png,39-mackerel.png
28-maple_pecan.png,15-walnut_whip.png,15-walnut_whip.png,28-maple_pecan.png
9-yu_mango_pieces.png,37-nakd_cashew_cookie.png,37-nakd_cashew_cookie.png,9-yu_mango_pieces.png
47-picnic.png,53-cheestrings.png,53-cheestrings.png,47-picnic.png
11-snickers.png,54-frubes_yogurt.png,11-snickers.png,54-frubes_yogurt.png
24-food_doctor_apple_walnut_bar.png,32-hovis_crackers.png,32-hovis_crackers.png,24-food_doctor_apple_walnut_bar.png
15-walnut_whip.png,28-maple_pecan.png,15-walnut_whip.png,28-maple_pecan.png
32-hovis_crackers.png,24-food_doctor_apple_walnut_bar.png,32-hovis_crackers.png,24-food_doctor_apple_walnut_bar.png
14-discos_salt_vinegar.png,52-aero_mousse.png,52-aero_mousse.png,14-discos_salt_vinegar.png
53-cheestrings.png,47-picnic.png,53-cheestrings.png,47-picnic.png
54-frubes_yogurt.png,11-snickers.png,11-snickers.png,54-frubes_yogurt.png
37-nakd_cashew_cookie.png,9-yu_mango_pieces.png,37-nakd_cashew_cookie.png,9-yu_mango_pieces.png
52-aero_mousse.png,14-discos_salt_vinegar.png,52-aero_mousse.png,14-discos_salt_vinegar.png
39-mackerel.png,12-topic.png,12-topic.png,39-mackerel.png
