,1-smarties_cookies.png,1-smarties_cookies.png,2-steamed_puddings.png,2-steamed_puddings.png,3-dole_fruit_snack.png,3-dole_fruit_snack.png,4-corn.png,4-corn.png,5-pineapple.png,5-pineapple.png,6-sour_patch_kids.png,6-sour_patch_kids.png,7-olives.png,7-olives.png,8-liquorice_catherine_wheels.png,8-liquorice_catherine_wheels.png,9-yu_mango_pieces.png,9-yu_mango_pieces.png,10-bounty.png,10-bounty.png,11-snickers.png,11-snickers.png,12-topic.png,12-topic.png,13-mccoys_steak_crisps.png,13-mccoys_steak_crisps.png,14-discos_salt_vinegar.png,14-discos_salt_vinegar.png,15-walnut_whip.png,15-walnut_whip.png,16-skips_prawn.png,16-skips_prawn.png,17-jacobs_mini_cheddars.png,17-jacobs_mini_cheddars.png,18-mms.png,18-mms.png,19-caramello.png,19-caramello.png,20-fruit_pastilles.png,20-fruit_pastilles.png,21-nakd_banana_crunch.png,21-nakd_banana_crunch.png,22-daim.png,22-daim.png,23-crunchie.png,23-crunchie.png,24-food_doctor_apple_walnut_bar.png,24-food_doctor_apple_walnut_bar.png,25-kitkat.png,25-kitkat.png,26-walkers_smoky_bacon.png,26-walkers_smoky_bacon.png,27-hartleys_raspberries_jelly.png,27-hartleys_raspberries_jelly.png,28-maple_pecan.png,28-maple_pecan.png,29-beans.png,29-beans.png,30-spaghetti_hoops.png,30-spaghetti_hoops.png,31-foxs_golden_biscuits.png,31-foxs_golden_biscuits.png,32-hovis_crackers.png,32-hovis_crackers.png,33-ambrosia_rice.png,33-ambrosia_rice.png,34-hula_hoops_bbq_beef.png,34-hula_hoops_bbq_beef.png,35-sultanas.png,35-sultanas.png,36-fig_rolls.png,36-fig_rolls.png,37-nakd_cashew_cookie.png,37-nakd_cashew_cookie.png,38-maltesers.png,38-maltesers.png,39-mackerel.png,39-mackerel.png,40-sardines.png,40-sardines.png,41-peanuts.png,41-peanuts.png,42-mrkipling_lemon_slices.png,42-mrkipling_lemon_slices.png,43-mrporky_pork_crackles.png,43-mrporky_pork_crackles.png,44-crunch.png,44-crunch.png,45-chewy_nougat.png,45-chewy_nougat.png,46-pistachios.png,46-pistachios.png,47-picnic.png,47-picnic.png,48-twix.png,48-twix.png,49-yorkie.png,49-yorkie.png,50-polo.png,50-polo.png,51-mars.png,51-mars.png,52-aero_mousse.png,52-aero_mousse.png,53-cheestrings.png,53-cheestrings.png,54-frubes_yogurt.png,54-frubes_yogurt.png
,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed
P1,3,3,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,2,1,3,2,1,1,3,2,3,1,3,3,1,1,3,1,2,2,2,2,2,2,1,1,3,3,1,1,1,1,1,1,3,3,2,1,3,2,1,1,2,2,1,1,1,1,1,1,2,2,3,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,3,3,3,2,3,2,3,3,1,1,2,2,1,1
P2,2,1,1,1,2,2,3,3,3,2,2,1,3,3,3,1,3,3,3,1,3,2,1,1,2,1,2,1,1,1,3,1,3,1,3,2,3,2,1,1,3,3,1,1,3,2,3,3,3,2,3,1,1,1,2,1,3,3,1,1,1,1,1,1,3,2,3,1,1,1,3,3,1,1,3,2,3,3,3,3,3,2,2,1,1,1,1,1,2,2,2,1,1,1,3,2,3,2,3,1,3,2,2,1,2,1,1,1
P3,3,2,3,2,3,2,3,3,3,1,1,1,3,1,2,2,2,1,3,2,3,2,3,2,3,3,3,2,2,1,2,2,3,3,3,2,3,2,3,2,1,1,2,1,3,1,2,2,3,2,3,3,2,2,2,1,3,3,3,2,2,2,2,1,3,1,3,3,1,1,3,2,1,1,3,2,3,3,3,3,3,2,2,1,3,2,2,1,1,1,3,3,3,2,3,2,3,2,2,1,3,2,3,2,3,1,2,1
P4,3,2,1,1,2,2,3,3,2,1,2,1,3,2,2,1,2,1,3,3,3,2,2,1,1,1,2,1,2,1,3,2,3,2,3,3,3,1,3,2,2,1,3,1,2,2,1,1,3,2,1,1,2,1,1,1,3,2,2,1,2,2,3,2,3,3,1,1,2,1,1,1,2,1,3,3,1,1,1,1,2,2,2,2,1,1,2,2,2,1,3,2,2,2,2,2,3,2,2,2,3,2,2,1,3,2,3,3
P5,3,1,2,1,3,1,3,2,3,2,3,2,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,2,1,1,1,1,1,1,1,1,2,1,3,2,3,2,2,1,2,2,3,2,2,1,2,1,3,1,1,1,1,1,1,1,3,2,2,1,3,2,2,1,2,2,3,2,2,1,2,2,3,2,2,1,3,2,2,1,3,2,1,1,2,1,3,2,3,2,1,1,2,1
P6,3,2,2,1,2,1,3,2,3,2,2,1,2,1,2,2,1,1,2,1,3,2,1,1,2,2,3,2,1,1,1,1,3,3,3,2,3,2,2,1,1,1,1,1,3,2,1,1,3,2,3,3,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,2,1,3,2,1,1,3,2,1,1,3,2,3,2,3,1,1,1,3,2,3,2,3,2,1,1,3,2,1,1,3,2,3,2,1,1,1,1,1,1
P7,3,2,2,1,2,1,3,2,2,1,1,1,2,1,1,1,3,2,3,2,3,2,1,1,2,1,2,1,2,2,1,1,3,1,3,3,3,3,3,3,2,1,2,2,3,3,1,1,3,3,2,1,3,2,1,1,3,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,3,3,1,1,1,1,2,2,1,1,3,3,2,1,3,3,1,1,3,3,3,3,2,1,1,1,1,1
P8,2,2,1,1,1,1,3,3,1,1,3,2,1,1,2,2,1,1,3,2,3,2,2,1,3,2,3,3,1,1,2,2,3,3,3,3,2,1,3,2,1,1,2,2,3,2,1,1,3,3,3,2,1,1,1,1,3,3,3,3,1,1,1,1,2,2,3,3,1,1,1,1,1,1,3,3,1,1,1,1,3,2,1,1,2,2,1,1,1,1,1,1,1,1,3,1,3,2,3,3,2,1,1,1,2,1,2,1
P9,3,2,1,1,2,1,3,2,2,1,2,2,3,1,2,1,1,1,3,2,3,2,2,2,3,2,2,1,2,2,2,1,3,2,3,3,3,2,2,2,2,2,3,2,3,2,2,1,3,3,3,2,2,1,1,1,3,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,1,3,3,2,2,2,1,2,2,2,2,1,1,3,2,2,2,3,3,3,2,3,2,3,2,3,2,3,2,2,2,3,2,2,2
